Heading,Text,Datetime
JPMAM leaves Climate Action 100+,JPMorgan Asset Management has become the latest firm to leave the Climate Action 100+ group.,2024-02-15 11:35:55+00:00
Barclays stops finance to new oil & gas projects,Barclays has published a revised climate change statement that includes an end to new finance for oil and gas projects.Â,2024-02-14 11:22:51+00:00
PFZW pensions cuts oil & gas investments,Dutch pension fund PFZW has reduced its fossil fuel investments to seven oil and gas companies.,2024-02-14 11:11:20+00:00
Novartis publishes 2023 integrated report,Novartis has published its In Society Integrated Report for 2023.Â,2024-02-08 14:07:29+00:00
EU agrees new rules for ESG ratings,The EU and the European Parliament have agreed new rules for the regulation of ESG ratings.,2024-02-07 14:38:02+00:00
MSCI adds private firm climate tool,"MSCI has announced the launch of MSCI Private Company Data Connect, a tool that provides access to private companies’ sustainability and climate data.Â",2024-02-07 09:41:44+00:00
Exxon sues ESG investors over climate plans,Exxon Mobil has filed a lawsuit against US and Dutch activist investors to attempt to remove what it calls their âextreme agendaâ from the ballot at its annual shareholder meetings.,2024-01-23 09:18:52+00:00
320 firms to begin TNFD nature reporting,The Taskforce on Nature-related Financial Disclosures says that 320 organisations have committed to begin making nature-related disclosures based on its recommendations.,2024-01-17 11:28:03+00:00
BlackRock sued by Tennessee over ESG aims,The US state of Tennessee is suing BlackRock for the alleged breaching of consumer protection laws by failing to fully disclose its ESG aims.Â,2023-12-19 12:12:46+00:00
Impact Disclosure Taskforce launched,A group of financial institutions and industry stakeholders has formed the Impact Disclosure Taskforce to establish voluntary guidance to measure and disclose efforts to achieve the SDGs.,2023-11-29 11:02:57+00:00
Bloomberg launches SDG impact tool,Bloomberg has announced the launch of a tool for investors to assess the potential impact of a company’s business on the United Nations’ 17 Sustainable Development Goals.,2023-11-28 09:20:42+00:00
Cazenove publishes climate action plan,"Cazenove Capital has published its Climate Transition Action Plan, outlining the firm’s plans for achieving their climate goals.",2023-11-27 14:22:14+00:00
Fidelity makes senior sustainability hires,Fidelity International has announced two senior hires in its sustainability team.,2023-10-30 11:07:32+00:00
Aviva hires environment sustainability director,Aviva has appointed Leah Ramoutar as Environmental Sustainability Director.,2023-10-05 08:55:05+00:00
Novelis publishes 2023 sustainability report,Novelis has issued its sustainability report for 2023 outlining the company’s progress toward its sustainability goals.,2023-09-25 08:46:40+00:00
UK announces new ESG reporting standards,The UK government has announced new reporting standards for corporate sustainability disclosures.,2023-08-14 10:20:48+00:00
UBS AM & Aon launch climate transition fund,UBS Asset Management and Aon have launched theÂ UBS Global Emerging Markets Equity Climate Transition Fund.,2023-08-03 08:22:58+00:00
