,Company Name,Date,Environment,Social,Governance,ESG_ratings,Final_ESG_Score,Historical_esg_score
244,McDonalds Corporation,2019-09-30,50.0,-1.0,-1.0,-1.0,50.0,50.0
243,Unilever PLC,2019-10-05,67.5575,-1.0,-1.0,-1.0,67.5575,67.5575
242,Qatar Stock Exchange,2019-10-07,59.544999999999995,-1.0,-1.0,-1.0,59.544999999999995,59.544999999999995
241,"PepsiCo, Inc.",2019-10-10,59.4375,-1.0,-1.0,22.1,81.5375,81.5375
240,STOXX Ltd.,2019-10-15,42.599999999999994,-1.0,-1.0,-1.0,42.599999999999994,42.599999999999994
239,Bank of Montreal (BMO Financial Group),2019-10-22,56.325,-1.0,-1.0,-1.0,56.325,56.325
238,BP p.l.c.,2019-10-29,36.025,-1.0,-1.0,-1.0,36.025,36.025
237,Microsoft Corporation,2019-11-02,-1.0,-1.0,75.63499999999999,-1.0,75.63499999999999,75.63499999999999
236,Prada S.p.A.,2019-11-06,64.2975,-1.0,-1.0,-1.0,64.2975,64.2975
235,Asia,2020-05-04,53.125,-1.0,-1.0,-1.0,53.125,53.125
234,TotalEnergies SE,2020-05-06,52.567499999999995,-1.0,-1.0,27.1,79.66749999999999,79.66749999999999
233,Smurfit Kappa Group plc,2020-05-09,55.67,-1.0,-1.0,-1.0,55.67,55.67
232,"T. Rowe Price Group, Inc.",2020-05-13,-1.0,-1.0,71.0,18.9,89.9,89.9
231,Norges Bank Investment Management,2020-05-14,-1.0,-1.0,41.5,-1.0,41.5,41.5
230,BHP:,2020-06-08,47.4425,-1.0,-1.0,-1.0,47.4425,47.4425
229,UBS Group AG,2020-06-16,50.0,-1.0,-1.0,27.5,77.5,77.5
228,Large Scale Investments,2020-06-24,-1.0,-1.0,57.287142857142854,-1.0,57.287142857142854,57.287142857142854
227,VolkerFitzpatrick,2020-06-29,62.885,-1.0,-1.0,-1.0,62.885,62.885
226,Philip Morris International Inc.,2020-07-01,-1.0,-1.0,50.416666666666664,-1.0,50.416666666666664,50.416666666666664
225,U.S. Securities and Exchange Commission,2020-07-10,-1.0,-1.0,46.388888888888886,-1.0,46.388888888888886,46.388888888888886
224,Octopus Energy Group Limited,2020-07-13,73.81416666666667,-1.0,-1.0,-1.0,73.81416666666667,73.81416666666667
223,Deutsche Bank AG,2020-07-16,50.35083333333333,-1.0,-1.0,27.9,78.25083333333333,78.25083333333333
222,US,2020-07-17,42.5,-1.0,-1.0,-1.0,42.5,42.5
221,Climate Change,2020-07-21,46.86694444444444,-1.0,-1.0,-1.0,46.86694444444444,46.86694444444444
220,HSBC Holdings plc,2020-07-21,-1.0,-1.0,61.47,-1.0,61.47,61.47
219,Morgan Stanley,2020-07-22,50.0,-1.0,-1.0,24.6,74.6,74.6
218,Deutsche Bank AG,2020-07-28,51.70454545454545,-1.0,-1.0,27.9,79.60454545454544,78.92768939393939
217,HSBC Holdings plc,2020-07-28,57.856590909090905,-1.0,-1.0,-1.0,57.856590909090905,59.66329545454545
216,Alphabet Inc.,2020-08-10,50.0,-1.0,-1.0,-1.0,50.0,50.0
215,Barclays PLC,2020-08-11,-1.0,50.0,-1.0,23.8,73.8,73.8
214,"CaixaBank, S.A.",2020-08-19,74.6275,-1.0,-1.0,-1.0,74.6275,74.6275
213,Australia and New Zealand Banking Group Limited (ANZ),2020-08-21,56.25,-1.0,-1.0,-1.0,56.25,56.25
212,J.P. Morgan Cazenove,2020-08-24,-1.0,80.6725,-1.0,-1.0,80.6725,80.6725
211,Markel Corporation,2020-08-27,-1.0,-1.0,59.03,-1.0,59.03,59.03
210,IKEA,2020-09-07,-1.0,63.5975,-1.0,-1.0,63.5975,63.5975
209,Citigroup Inc.,2020-09-10,-1.0,-1.0,62.43909090909091,-1.0,62.43909090909091,62.43909090909091
208,UBS Group AG,2020-09-11,62.3475,-1.0,-1.0,27.5,89.8475,83.67375
207,CA100+ Annual Investment Forum,2020-09-14,48.43333333333334,-1.0,-1.0,-1.0,48.43333333333334,48.43333333333334
206,Citigroup Inc.,2020-09-15,-1.0,-1.0,53.40909090909091,-1.0,53.40909090909091,57.92409090909091
205,Santander Consumer USA Holdings Inc.,2020-09-23,-1.0,65.6225,-1.0,-1.0,65.6225,65.6225
204,"Big Lots, Inc.",2020-09-24,51.25,-1.0,-1.0,19.7,70.95,70.95
202,"Five Below, Inc.",2020-09-29,-1.0,60.0575,-1.0,22.5,82.5575,82.5575
203,Patrizia AG,2020-09-29,-1.0,-1.0,62.43909090909091,-1.0,62.43909090909091,62.43909090909091
201,International Lawyers Network,2020-10-02,62.5,-1.0,-1.0,-1.0,62.5,62.5
200,"Mitsubishi UFJ Financial Group, Inc.",2020-10-05,50.0,-1.0,-1.0,22.3,72.3,72.3
199,Mirabaud Group,2020-10-06,-1.0,-1.0,59.03,-1.0,59.03,59.03
198,Allianz SE,2020-10-09,50.0,-1.0,-1.0,13.3,63.3,63.3
197,European Commission,2020-10-09,42.045,-1.0,-1.0,-1.0,42.045,42.045
196,Anti-corruption,2020-10-14,-1.0,74.52000000000001,-1.0,-1.0,74.52000000000001,74.52000000000001
