Company,ESG Risk Rating,Score
"1-800-FLOWERS.COM, Inc.",Medium ESG Risk,23.6
1&1 AG,Medium ESG Risk,23.1
"10X Genomics, Inc.",Medium ESG Risk,22.6
11 Bit Studios SA,Low ESG Risk,16.3
1st Source Corp.,Medium ESG Risk,29.1
2020 Bulkers Ltd.,Medium ESG Risk,24.4
23andMe Holding Co.,Medium ESG Risk,21.4
29metals Ltd.,Severe ESG Risk,41.2
2i Rete Gas SpA,Medium ESG Risk,22.6
"2seventy Bio, Inc.",High ESG Risk,35.9
"2U, Inc.",Medium ESG Risk,26.8
360 One Wam Ltd.,High ESG Risk,33.3
"360 Security Technology, Inc.",Medium ESG Risk,22.1
361 Degrees International Ltd.,Low ESG Risk,18.8
37 Interactive Entertainment Network Technology Group Co. Ltd.,Low ESG Risk,14.3
"374Water, Inc.",Medium ESG Risk,29.2
3D Systems Corp.,Medium ESG Risk,23.0
3i Group Plc,Low ESG Risk,10.4
3M Co.,Severe ESG Risk,41.0
3M India Ltd.,Medium ESG Risk,21.2
"3peak, Inc.",Medium ESG Risk,21.2
3R Petroleum Óleo e Gás SA,Severe ESG Risk,56.7
"3SBio, Inc.",Medium ESG Risk,25.7
407 East Development Group GP,Severe ESG Risk,44.0
"407 International, Inc.",Low ESG Risk,10.2
"4D Molecular Therapeutics, Inc.",Medium ESG Risk,27.4
4imprint Group Plc,Low ESG Risk,17.2
501(c) Agencies Trust,High ESG Risk,35.1
"5E Advanced Materials, Inc.",Severe ESG Risk,42.0
5I5J Holding Group Co. Ltd.,Low ESG Risk,14.9
7-Eleven Malaysia Holdings Bhd.,Medium ESG Risk,24.6
"7-Eleven, Inc.",High ESG Risk,35.1
888 Holdings Plc,Low ESG Risk,19.0
"89bio, Inc.",High ESG Risk,32.9
"8x8, Inc.",Medium ESG Risk,29.9
"908 Devices, Inc.",High ESG Risk,36.8
"91APP, Inc.",Medium ESG Risk,20.6
"A-Living Smart City Services Co., Ltd.",Low ESG Risk,11.3
"A-Mark Precious Metals, Inc.",High ESG Risk,30.3
A. O. Smith Corp.,Medium ESG Risk,26.6
A.G. BARR Plc,Medium ESG Risk,28.2
A.P. Møller-Mærsk A/S,Low ESG Risk,16.7
"A10 Networks, Inc.",Medium ESG Risk,20.5
A2A SpA,Medium ESG Risk,21.3
A2Dominion Housing Group Ltd.,Low ESG Risk,16.6
AA Ltd.,Low ESG Risk,17.5
"AAC Technologies Holdings, Inc.",Low ESG Risk,18.8
"Aadi Bioscience, Inc.",Medium ESG Risk,26.4
AAK AB,Medium ESG Risk,26.7
Aalberts NV,Medium ESG Risk,23.1
Aamal Co. QSC,High ESG Risk,39.4
"AAON, Inc.",Medium ESG Risk,22.8
AAR Corp.,High ESG Risk,34.0
Aareal Bank AG,Low ESG Risk,18.7
Aarti Drugs Ltd.,High ESG Risk,34.9
AARTI Industries Ltd.,Medium ESG Risk,23.0
Aavas Financiers Ltd.,Medium ESG Risk,26.2
AB Dynamics Plc,Low ESG Risk,17.9
AB Science SA,High ESG Risk,32.5
Abacus Group,Low ESG Risk,13.4
ABANCA Corporación Bancaria SA,Negligible ESG Risk,6.7
ABB India Ltd.,Medium ESG Risk,20.7
ABB Ltd.,Low ESG Risk,15.4
Abbott Laboratories,Medium ESG Risk,23.2
"AbbVie, Inc.",Medium ESG Risk,26.9
ABC arbitrage SA,High ESG Risk,30.2
"ABC-MART, INC.",Low ESG Risk,19.6
"AbCellera Biologics, Inc.",Medium ESG Risk,29.7
"AbClon, Inc.",High ESG Risk,32.5
Abdullah Al Othaim Markets Co.,Medium ESG Risk,24.3
Abengoa SA,High ESG Risk,33.4
Abengoa Transmisión Sur SA,Medium ESG Risk,22.9
Abercrombie & Fitch Co.,Low ESG Risk,15.0
Abertis Infraestructuras SA,Negligible ESG Risk,7.1
ABG Sundal Collier Holding ASA,Medium ESG Risk,29.4
"Ability Enterprise Co., Ltd.",Medium ESG Risk,20.8
"Ability Opto-Electronics Technology Co., Ltd.",Medium ESG Risk,28.6
Abivax SA,High ESG Risk,33.3
"ABL Bio, Inc.",High ESG Risk,37.1
"ABLE C&C Co., Ltd.",High ESG Risk,33.6
Abliva AB,Medium ESG Risk,29.2
"ABM Industries, Inc.",Low ESG Risk,13.6
ABN AMRO Bank NV,Medium ESG Risk,21.8
"Aboitiz Equity Ventures, Inc.",Severe ESG Risk,45.6
Aboitiz Power Corp.,Medium ESG Risk,28.7
ABOUT YOU Holding SE,Low ESG Risk,16.2
Abra Global Finance,High ESG Risk,35.1
abrdn European Logistics Income Plc,High ESG Risk,32.1
abrdn Plc,Low ESG Risk,17.2
abrdn Property Income Trust Ltd.,Low ESG Risk,11.3
Absa Group Ltd.,Medium ESG Risk,27.7
Absolute Clean Energy PCL,Low ESG Risk,19.7
Absolute Software Corp.,Medium ESG Risk,24.1
Abu Dhabi Aviation Co.,High ESG Risk,31.9
Abu Dhabi Commercial Bank,Low ESG Risk,12.5
Abu Dhabi Crude Oil Pipeline LLC,High ESG Risk,37.8
Abu Dhabi Islamic Bank,Medium ESG Risk,29.6
Abu Dhabi National Energy Co. PJSC,Low ESG Risk,18.1
Abu Dhabi National Hotels,High ESG Risk,31.6
Abu Dhabi National Insurance Co. PSC,High ESG Risk,33.9
Abu Dhabi National Oil Co. for Distribution PJSC,Medium ESG Risk,25.4
Abu Dhabi Ports Co. PJSC,Low ESG Risk,18.5
"AC Energy, Inc.",Medium ESG Risk,20.5
Acacia Research Corp.,Medium ESG Risk,29.3
AcadeMedia AB,Low ESG Risk,15.7
"Academy Sports & Outdoors, Inc.",Low ESG Risk,15.7
"Acadia Healthcare Co., Inc.",Medium ESG Risk,29.5
"ACADIA Pharmaceuticals, Inc.",Medium ESG Risk,24.4
Acadia Realty Trust,Low ESG Risk,13.9
"AcBel Polytech, Inc.",Low ESG Risk,20.0
ACC Ltd.,Medium ESG Risk,29.3
"Accel Entertainment, Inc.",Low ESG Risk,19.5
"Accelink Technologies Co., Ltd.",Medium ESG Risk,21.4
Accelleron Industries AG,Medium ESG Risk,26.6
Accent Group Ltd.,Low ESG Risk,16.5
Accenture Plc,Negligible ESG Risk,9.8
Accès Recherche Montréal LP,High ESG Risk,34.9
Access Bank Plc,Medium ESG Risk,26.4
Access Prairies Partnership,Severe ESG Risk,45.7
Acciona SA,Low ESG Risk,17.1
ACCO Brands Corp.,Negligible ESG Risk,7.5
"Accolade, Inc.",Medium ESG Risk,20.6
Accor SA,Low ESG Risk,18.2
Accton Technology Corp.,Medium ESG Risk,20.1
Ace Technologies Corp.,Medium ESG Risk,25.0
Acea SpA,Low ESG Risk,19.7
ACEN Corp.,Medium ESG Risk,29.6
"Acer, Inc.",Low ESG Risk,14.7
Acerinox SA,Medium ESG Risk,29.5
Achilles Corp.,High ESG Risk,30.5
Achmea Bank NV,Medium ESG Risk,20.9
Achmea BV,Low ESG Risk,14.6
"ACI Worldwide, Inc.",Medium ESG Risk,22.4
Ackermans & van Haaren NV,Negligible ESG Risk,7.6
"Aclaris Therapeutics, Inc.",High ESG Risk,32.7
"ACM Research (Shanghai), Inc.",High ESG Risk,31.3
"ACM Research, Inc.",High ESG Risk,32.1
ACNB Corp.,High ESG Risk,30.6
"ACOM Co., Ltd.",Medium ESG Risk,23.3
ACOMO NV,Low ESG Risk,13.3
Acrinova AB,Medium ESG Risk,23.1
"Acrivon Therapeutics, Inc.",High ESG Risk,35.8
Acron PJSC,Severe ESG Risk,52.9
ACS Actividades de Construcción y Servicios SA,High ESG Risk,30.8
Acter Group Corp. Ltd.,Medium ESG Risk,28.4
Actic Group AB,High ESG Risk,32.0
Action Construction Equipment Ltd.,High ESG Risk,31.2
Active Biotech AB,Medium ESG Risk,28.1
"Activia Properties, Inc.",Low ESG Risk,12.7
"Activision Blizzard, Inc.",Low ESG Risk,16.3
"Acuity Brands, Inc.",Low ESG Risk,19.2
Acushnet Holdings Corp.,Low ESG Risk,10.7
"ACV Auctions, Inc.",High ESG Risk,30.3
ACWA Power Co.,High ESG Risk,36.9
ADAMA Ltd.,High ESG Risk,37.6
Adani Electricity Mumbai Ltd.,Medium ESG Risk,25.3
Adani Energy Solutions Ltd.,Medium ESG Risk,25.3
Adani Enterprises Ltd.,High ESG Risk,34.3
Adani Green Energy Ltd.,Low ESG Risk,13.9
Adani Ports & Special Economic Zone Ltd.,Low ESG Risk,12.7
Adani Power Ltd.,High ESG Risk,36.6
Adani Total Gas Ltd.,Medium ESG Risk,23.9
Adani Wilmar Ltd.,High ESG Risk,33.1
adapa Holding GesmbH,Low ESG Risk,12.7
AdaptHealth Corp.,High ESG Risk,32.4
Adaptive Biotechnologies Corp.,Low ESG Risk,18.9
"Adastria Co., Ltd.",Low ESG Risk,19.7
"ADATA Technology Co., Ltd.",High ESG Risk,34.2
ADBRI Ltd.,High ESG Risk,35.9
Adcock Ingram Holdings Ltd.,Medium ESG Risk,29.8
"ADDCN Technology Co., Ltd.",Medium ESG Risk,23.8
AddLife AB,Low ESG Risk,15.3
Addnode Group AB,Medium ESG Risk,26.7
"Addsino Co., Ltd.",Medium ESG Risk,23.7
Addtech AB,Medium ESG Risk,21.2
Addus HomeCare Corp.,Low ESG Risk,18.5
Adecco Group AG,Negligible ESG Risk,9.1
Adecoagro SA,Medium ESG Risk,28.8
"Adeia, Inc.",High ESG Risk,30.3
Adeka Corp.,Medium ESG Risk,26.9
Adelaide Airport Ltd.,Negligible ESG Risk,9.7
"ADENTRA, Inc.",Medium ESG Risk,28.6
adesso SE,Medium ESG Risk,21.5
Adevinta ASA,Medium ESG Risk,21.9
"Adicet Bio, Inc.",Medium ESG Risk,26.6
adidas AG,Low ESG Risk,14.6
Adient plc,Low ESG Risk,16.0
Adimmune Corp.,Medium ESG Risk,26.7
Aditya Birla Capital Ltd.,Low ESG Risk,12.4
Aditya Birla Fashion & Retail Ltd.,Low ESG Risk,13.3
ADLER Group SA,Medium ESG Risk,22.8
"Adlink Technology, Inc.",Medium ESG Risk,20.8
"ADMA Biologics, Inc.",High ESG Risk,34.8
Admie Holdings (IPTO) SA,High ESG Risk,31.8
Admiral Group Plc,Medium ESG Risk,24.2
ADNOC Drilling Co. PJSC,Medium ESG Risk,21.9
"Adobe, Inc.",Low ESG Risk,14.9
Adolf Würth GmbH & Co. KG,Medium ESG Risk,26.0
ADS-TEC Energy Plc,Medium ESG Risk,28.5
"ADT, Inc.",Medium ESG Risk,22.3
"Adtalem Global Education, Inc.",Low ESG Risk,10.9
"ADTRAN Holdings, Inc.",Low ESG Risk,19.0
Adtran Networks SE,Low ESG Risk,11.1
"ADVAN GROUP CO., LTD",Medium ESG Risk,26.1
"Advance Auto Parts, Inc.",Low ESG Risk,11.2
Advance Logistics Investment Corp.,Low ESG Risk,14.6
Advance Residence Investment Corp.,Low ESG Risk,16.2
Advanced Ceramic X Corp.,Low ESG Risk,17.4
"Advanced Drainage Systems, Inc.",Medium ESG Risk,26.7
"Advanced Energy Industries, Inc.",Low ESG Risk,17.8
"Advanced Energy Solution Holding Co., Ltd.",Medium ESG Risk,25.3
Advanced Enzyme Technologies Ltd.,High ESG Risk,34.0
"Advanced Info Service Public Co., Ltd.",Medium ESG Risk,21.6
Advanced International Multitech Co. Ltd.,Low ESG Risk,11.5
Advanced Medical Solutions Group Plc,Low ESG Risk,14.3
"Advanced Micro Devices, Inc.",Low ESG Risk,15.0
"Advanced Micro Fabrication Equipment, Inc. China",Medium ESG Risk,24.5
"Advanced Nano Products Co., Ltd.",High ESG Risk,36.6
Advanced Petrochemical Co.,Medium ESG Risk,27.8
Advanced Process Systems Corp.,Medium ESG Risk,29.1
"Advanced Technology & Materials Co., Ltd.",Severe ESG Risk,53.0
Advanced Wireless Semiconductor Co.,Medium ESG Risk,20.6
Advancetek Enterprise Co. Ltd.,Low ESG Risk,19.4
"Advansix, Inc.",Medium ESG Risk,23.9
Advantage Energy Ltd.,High ESG Risk,40.0
"Advantage Solutions, Inc. (California)",Low ESG Risk,18.4
"Advantech Co., Ltd.",Low ESG Risk,19.3
Advantest Corp.,Low ESG Risk,16.5
"Adventure, Inc.",High ESG Risk,33.7
ADvTECH Ltd.,Low ESG Risk,17.2
Adyen NV,Low ESG Risk,16.2
"AECC Aero-engine Control Co., Ltd.",Severe ESG Risk,44.2
"AECC Aviation Power Co., Ltd.",Severe ESG Risk,48.8
AECI Ltd.,Medium ESG Risk,28.5
AECOM,Medium ESG Risk,29.8
"Aecon Group, Inc.",Medium ESG Risk,29.9
AEDAS Homes SA,Low ESG Risk,10.9
Aedifica SA,Low ESG Risk,11.0
Aegea Saneamento e Participaçoes SA,Low ESG Risk,12.6
Aegean Airlines SA,Medium ESG Risk,29.0
Aegis Logistics Ltd.,High ESG Risk,38.6
Aegon Ltd.,Low ESG Risk,15.3
Aehr Test Systems,Medium ESG Risk,22.2
"Aekyung Industrial Co., Ltd.",High ESG Risk,32.6
AEM Holdings Ltd.,Low ESG Risk,17.5
Aena S.M.E. SA,Negligible ESG Risk,8.9
AEON Co. (Malaysia) Bhd.,Low ESG Risk,17.2
"AEON Co., Ltd.",Medium ESG Risk,24.5
AEON Credit Service (M) Bhd.,Medium ESG Risk,22.5
"AEON DELIGHT CO., LTD.",Medium ESG Risk,25.3
"AEON Fantasy Co., Ltd.",High ESG Risk,31.7
